"date","close","volume","open","high","low"
"2017/08/09","0.4438","486.0000","0.4438","0.4438","0.4438"
"2017/08/08","0.4400","10048.0000","0.4400","0.4400","0.4400"
"2017/08/07","0.4472","0.0000","0.4472","0.4472","0.4472"
"2017/08/04","0.4472","2250.0000","0.4472","0.4472","0.4472"
"2017/08/03","0.4354","0.0000","0.4354","0.4354","0.4354"
"2017/08/02","0.4354","0.0000","0.4354","0.4354","0.4354"
"2017/08/01","0.4354","6000.0000","0.4179","0.4354","0.4179"
"2017/07/31","0.4350","0.0000","0.4350","0.4350","0.4350"
"2017/07/28","0.4350","0.0000","0.4350","0.4350","0.4350"
"2017/07/27","0.4350","0.0000","0.4350","0.4350","0.4350"
"2017/07/26","0.4350","21575.0000","0.4308","0.4350","0.4277"
"2017/07/25","0.4260","10000.0000","0.4300","0.4300","0.4260"
"2017/07/24","0.4225","1550.0000","0.4300","0.4300","0.4225"
"2017/07/21","0.4287","0.0000","0.4287","0.4287","0.4287"
"2017/07/20","0.4287","0.0000","0.4287","0.4287","0.4287"
"2017/07/19","0.4287","150.0000","0.4287","0.4287","0.4287"
"2017/07/18","0.4200","2700.0000","0.4330","0.4330","0.4200"
"2017/07/17","0.4358","74915.0000","0.4400","0.4400","0.4350"
"2017/07/14","0.4155","1212.0000","0.4304","0.4304","0.4155"
"2017/07/13","0.4280","1010.0000","0.4280","0.4280","0.4280"
"2017/07/12","0.4385","159.0000","0.4385","0.4385","0.4385"
"2017/07/11","0.4400","9713.0000","0.4236","0.4400","0.4236"
"2017/07/10","0.4200","25000.0000","0.4100","0.4200","0.4100"
"2017/07/07","0.4140","10962.0000","0.4100","0.4140","0.3900"
"2017/07/06","0.4109","2481.0000","0.4050","0.4109","0.4050"
"2017/07/05","0.4160","47332.0000","0.4100","0.4160","0.4052"
"2017/07/03","0.4050","12500.0000","0.4050","0.4050","0.4050"
"2017/06/30","0.3810","13440.0000","0.3813","0.3827","0.3810"
"2017/06/29","0.3800","0.0000","0.3800","0.3800","0.3800"
"2017/06/28","0.3800","3197.0000","0.3800","0.3800","0.3800"
"2017/06/27","0.3880","3666.0000","0.3660","0.3880","0.3660"
"2017/06/26","0.3650","19200.0000","0.3700","0.3810","0.3650"
"2017/06/23","0.3750","0.0000","0.3750","0.3750","0.3750"
"2017/06/22","0.3750","1500.0000","0.3750","0.3750","0.3750"
"2017/06/21","0.3900","19630.0000","0.3874","0.3900","0.3874"
"2017/06/20","0.3900","3000.0000","0.3900","0.3900","0.3874"
"2017/06/19","0.3900","2564.0000","0.3900","0.3900","0.3900"
"2017/06/16","0.3900","8799.0000","0.3922","0.3938","0.3900"
"2017/06/15","0.3930","49857.0000","0.3940","0.3940","0.3770"
"2017/06/14","0.4000","6250.0000","0.3980","0.4000","0.3980"
"2017/06/13","0.4000","20130.0000","0.3800","0.4000","0.3800"
"2017/06/12","0.3650","0.0000","0.3650","0.3650","0.3650"
"2017/06/09","0.3650","0.0000","0.3650","0.3650","0.3650"
"2017/06/08","0.3650","2560.0000","0.3650","0.3650","0.3650"
"2017/06/07","0.3710","11357.0000","0.3600","0.3710","0.3584"
"2017/06/06","0.3677","1590.0000","0.3677","0.3677","0.3677"
"2017/06/05","0.3845","0.0000","0.3845","0.3845","0.3845"
"2017/06/02","0.3845","13500.0000","0.3256","0.3845","0.3256"
"2017/06/01","0.3100","0.0000","0.3100","0.3100","0.3100"
"2017/05/31","0.3100","2600.0000","0.3152","0.3152","0.3100"
"2017/05/30","0.3350","0.0000","0.3350","0.3350","0.3350"
"2017/05/26","0.3350","0.0000","0.3350","0.3350","0.3350"
"2017/05/25","0.3350","0.0000","0.3350","0.3350","0.3350"
"2017/05/24","0.3350","6100.0000","0.3540","0.3540","0.3350"
"2017/05/23","0.3280","21011.0000","0.3250","0.3400","0.3212"
"2017/05/22","0.3504","0.0000","0.3504","0.3504","0.3504"
"2017/05/19","0.3504","22500.0000","0.3331","0.3504","0.3331"
"2017/05/18","0.3600","0.0000","0.3600","0.3600","0.3600"
"2017/05/17","0.3600","0.0000","0.3600","0.3600","0.3600"
"2017/05/16","0.3600","10290.0000","0.3620","0.3620","0.3600"
"2017/05/15","0.3600","18340.0000","0.3625","0.3625","0.3600"
"2017/05/12","0.3675","37500.0000","0.3996","0.3996","0.3675"
"2017/05/11","0.3704","35860.0000","0.3580","0.3731","0.3580"
"2017/05/10","0.3622","900.0000","0.3715","0.3750","0.3622"
"2017/05/09","0.3670","33975.0000","0.3640","0.3700","0.3616"
"2017/05/08","0.3548","15600.0000","0.3360","0.3560","0.3360"
"2017/05/05","0.3350","27800.0000","0.3300","0.3350","0.3300"
"2017/05/04","0.3370","3590.0000","0.3380","0.3380","0.3370"
"2017/05/03","0.3360","10000.0000","0.3360","0.3360","0.3360"
"2017/05/02","0.3370","20400.0000","0.3331","0.3370","0.3331"
"2017/05/01","0.3113","10191.0000","0.3130","0.3130","0.3105"
"2017/04/28","0.2940","3000.0000","0.2984","0.2984","0.2940"
"2017/04/27","0.2750","0.0000","0.2750","0.2750","0.2750"
"2017/04/26","0.2750","0.0000","0.2750","0.2750","0.2750"
"2017/04/25","0.2750","0.0000","0.2750","0.2750","0.2750"
"2017/04/24","0.2750","1075.0000","0.2750","0.2750","0.2750"
"2017/04/21","0.2672","0.0000","0.2672","0.2672","0.2672"
"2017/04/20","0.2672","0.0000","0.2672","0.2672","0.2672"
"2017/04/19","0.2672","225.0000","0.2672","0.2672","0.2672"
"2017/04/18","0.2700","0.0000","0.2700","0.2700","0.2700"
"2017/04/17","0.2700","0.0000","0.2700","0.2700","0.2700"
"2017/04/13","0.2700","0.0000","0.2700","0.2700","0.2700"
"2017/04/12","0.2700","5580.0000","0.2700","0.2700","0.2700"
"2017/04/11","0.2590","3300.0000","0.2590","0.2590","0.2590"
"2017/04/10","0.2710","350.0000","0.2682","0.2710","0.2682"
"2017/04/07","0.2710","10490.0000","0.2710","0.2710","0.2678"
"2017/04/06","0.2630","15300.0000","0.2602","0.2630","0.2602"
"2017/04/05","0.2626","1500.0000","0.2650","0.2650","0.2626"
"2017/04/04","0.2590","170.0000","0.2590","0.2590","0.2590"
"2017/04/03","0.2610","0.0000","0.2610","0.2610","0.2610"
"2017/03/31","0.2610","0.0000","0.2610","0.2610","0.2610"
"2017/03/30","0.2610","100.0000","0.2610","0.2610","0.2610"
"2017/03/29","0.2600","0.0000","0.2600","0.2600","0.2600"
"2017/03/28","0.2600","12880.0000","0.2580","0.2600","0.2580"
"2017/03/27","0.2500","300.0000","0.2500","0.2500","0.2500"
"2017/03/24","0.2340","100.0000","0.2340","0.2340","0.2340"
"2017/03/23","0.2400","12500.0000","0.2400","0.2400","0.2400"
"2017/03/22","0.2622","0.0000","0.2622","0.2622","0.2622"
"2017/03/21","0.2622","0.0000","0.2622","0.2622","0.2622"
"2017/03/20","0.2622","0.0000","0.2622","0.2622","0.2622"
"2017/03/17","0.2622","0.0000","0.2622","0.2622","0.2622"
"2017/03/16","0.2622","0.0000","0.2622","0.2622","0.2622"
"2017/03/15","0.2622","0.0000","0.2622","0.2622","0.2622"
"2017/03/14","0.2622","0.0000","0.2622","0.2622","0.2622"
"2017/03/13","0.2622","4000.0000","0.2622","0.2622","0.2622"
"2017/03/10","0.2500","2262.0000","0.2500","0.2500","0.2500"
"2017/03/09","0.2442","0.0000","0.2442","0.2442","0.2442"
"2017/03/08","0.2442","0.0000","0.2442","0.2442","0.2442"
"2017/03/07","0.2442","10000.0000","0.2442","0.2442","0.2442"
"2017/03/06","0.2548","160.0000","0.2548","0.2548","0.2548"
"2017/03/03","0.2650","1367.0000","0.2650","0.2650","0.2650"
"2017/03/02","0.2584","0.0000","0.2584","0.2584","0.2584"
"2017/03/01","0.2584","1000.0000","0.2584","0.2584","0.2584"
"2017/02/28","0.2500","1986.0000","0.2500","0.2500","0.2500"
"2017/02/27","0.2546","0.0000","0.2546","0.2546","0.2546"
"2017/02/24","0.2546","0.0000","0.2546","0.2546","0.2546"
