"date","close","volume","open","high","low"
"2017/09/01","0.3618","3140995.0000","0.3640","0.3690","0.3610"
"2017/08/31","0.3618","7322268.0000","0.3800","0.3880","0.3505"
"2017/08/30","0.3894","1952083.0000","0.3930","0.3950","0.3802"
"2017/08/29","0.3940","1783737.0000","0.3900","0.4000","0.3870"
"2017/08/28","0.4043","1024131.0000","0.4070","0.4140","0.4014"
"2017/08/25","0.4070","1248994.0000","0.4000","0.4090","0.3961"
"2017/08/24","0.4030","1381064.0000","0.4040","0.4080","0.3940"
"2017/08/23","0.3995","2055918.0000","0.4000","0.4080","0.3950"
"2017/08/22","0.4000","2967609.0000","0.4100","0.4200","0.4000"
"2017/08/21","0.4130","881745.0000","0.4230","0.4230","0.4130"
"2017/08/18","0.4190","1048116.0000","0.4150","0.4280","0.4150"
"2017/08/17","0.4174","739301.0000","0.4250","0.4250","0.4160"
"2017/08/16","0.4267","2282129.0000","0.4300","0.4340","0.4250"
"2017/08/15","0.4195","2064616.0000","0.4360","0.4400","0.4150"
"2017/08/14","0.4250","1647000.0000","0.4340","0.4350","0.4250"
"2017/08/11","0.4260","1899695.0000","0.4210","0.4343","0.4170"
"2017/08/10","0.4200","1569457.0000","0.4365","0.4479","0.4200"
"2017/08/09","0.4360","1034842.0000","0.4470","0.4490","0.4345"
"2017/08/08","0.4470","491382.0000","0.4465","0.4525","0.4435"
"2017/08/07","0.4450","856702.0000","0.4540","0.4540","0.4400"
"2017/08/04","0.4440","810848.0000","0.4500","0.4520","0.4401"
"2017/08/03","0.4440","1157431.0000","0.4465","0.4520","0.4360"
"2017/08/02","0.4495","2225312.0000","0.4403","0.4520","0.4256"
"2017/08/01","0.4300","1331057.0000","0.4320","0.4460","0.4300"
"2017/07/31","0.4150","4293504.0000","0.4132","0.4240","0.4100"
"2017/07/28","0.4282","579840.0000","0.4300","0.4350","0.4218"
"2017/07/27","0.4250","4360088.0000","0.4480","0.4480","0.4200"
"2017/07/26","0.4500","4046816.0000","0.4462","0.4594","0.4380"
"2017/07/25","0.4600","2493733.0000","0.4560","0.4630","0.4540"
"2017/07/24","0.4530","1881591.0000","0.4474","0.4560","0.4474"
"2017/07/21","0.4490","1585797.0000","0.4440","0.4500","0.4400"
